age,gender,A_total,O_total,C_total,E_total,N_total
53,1,32,31,31,32,19
46,2,31,26,28,28,29
19,2,37,37,34,36,43
31,2,34,35,37,28,32
20,2,37,29,30,32,25
23,1,31,30,30,35,19
39,2,33,37,35,31,37
18,2,27,33,32,29,33
17,2,29,38,32,29,36
15,1,37,34,34,32,28
22,2,32,31,33,30,29
21,2,27,31,33,25,38
28,2,30,32,32,32,31
21,1,29,35,30,26,23
19,2,25,35,32,28,23
21,2,34,31,28,32,32
26,2,26,29,32,28,26
26,2,29,32,23,26,29
19,2,34,35,30,31,40
29,2,26,33,31,28,18
29,2,31,35,32,27,32
21,1,31,32,33,33,28
52,2,31,38,35,35,28
19,2,33,35,27,27,29
48,1,37,32,36,34,34
22,1,26,29,30,30,28
17,2,33,33,28,32,39
37,1,32,32,27,29,23
19,2,38,32,23,29,36
22,2,34,35,31,32,30
25,1,32,30,34,30,26
20,2,35,34,22,32,35
15,2,35,27,33,30,31
46,2,31,36,31,23,37
15,1,35,38,34,31,25
18,2,30,34,28,24,29
42,1,27,35,32,31,26
27,2,29,33,33,25,31
17,1,34,38,26,26,18
17,2,33,25,34,35,41
17,2,31,34,31,29,33
27,2,34,36,35,33,38
19,2,29,36,37,35,33
20,1,31,33,29,30,28
26,2,33,34,31,30,42
24,1,33,39,34,28,39
19,2,31,34,37,26,35
14,2,28,36,29,23,35
25,2,31,24,28,24,22
47,1,30,34,32,28,32
18,1,28,36,31,30,32
23,1,31,35,34,32,42
20,2,30,37,25,27,32
35,2,32,38,29,26,35
34,2,33,29,30,31,27
15,1,32,36,34,34,37
20,1,37,33,36,31,23
54,2,31,34,36,28,22
47,1,35,34,27,32,27
45,1,34,33,33,35,23
32,2,30,29,38,28,39
23,2,31,33,29,28,33
23,2,32,29,29,29,24
14,2,30,34,37,25,40
19,1,33,34,32,34,34
15,2,29,32,35,34,38
49,2,33,36,31,32,31
47,2,32,37,32,31,30
23,2,32,35,29,31,38
19,2,28,36,34,28,34
36,1,33,38,34,29,36
21,2,32,36,35,32,35
21,2,34,37,39,25,40
21,2,32,31,28,29,30
32,1,33,30,29,31,18
33,2,29,37,28,31,29
33,1,32,35,33,29,26
16,1,34,31,31,29,32
21,2,30,33,34,32,34
31,2,25,35,27,29,20
17,1,30,37,25,31,24
26,2,30,31,34,28,28
34,1,34,38,35,27,37
26,2,35,33,35,34,28
22,2,32,36,32,31,18
19,2,30,28,26,25,37
19,1,35,32,27,32,31
21,2,34,36,33,35,31
49,1,30,32,36,29,19
18,2,38,34,34,37,28
32,2,30,30,28,24,36
60,2,33,38,33,34,31
22,2,35,37,30,26,37
16,2,32,31,35,25,26
20,1,31,30,30,30,33
47,2,29,30,25,26,23
15,2,29,32,35,25,38
17,2,27,26,24,32,37
16,2,31,35,37,35,37
23,2,25,32,26,32,31
30,2,34,32,31,32,24
17,2,37,33,35,26,30
20,2,31,28,30,30,32
25,1,26,35,30,28,33
27,1,31,36,32,26,34
25,2,28,35,34,30,28
21,2,32,30,32,29,28
59,1,28,37,26,28,22
30,2,28,37,28,29,21
27,2,33,30,31,30,37
41,2,31,34,32,30,33
18,1,34,33,30,34,28
21,2,34,32,32,29,35
15,2,33,32,37,32,28
18,2,29,39,33,26,41
20,1,34,35,28,30,24
35,1,33,37,33,32,25
24,2,27,30,27,26,31
33,2,28,33,28,33,39
20,2,26,27,29,31,28
59,2,34,34,28,31,22
19,2,31,35,30,29,28
26,1,30,36,36,24,33
31,2,35,31,30,30,38
30,2,35,32,28,26,27
18,2,30,25,32,26,34
24,2,31,33,34,29,31
13,2,31,38,35,31,27
19,2,34,31,28,32,25
20,2,29,34,29,31,34
13,2,30,35,36,29,34
16,2,27,33,26,30,36
17,2,34,33,28,25,22
27,2,34,31,22,30,23
20,2,29,36,31,27,27
44,2,30,29,27,29,28
21,2,31,30,29,30,35
21,2,30,34,37,30,29
23,1,35,26,30,32,26
39,1,28,29,23,33,28
45,2,29,36,38,27,30
45,2,33,30,25,28,28
20,1,33,37,33,31,18
21,2,30,33,38,31,38
23,2,34,33,34,23,31
23,2,30,36,35,26,29
22,2,31,30,31,32,34
16,2,36,36,33,36,36
20,1,35,37,25,30,26
33,2,36,29,31,34,23
17,2,30,33,31,33,37
17,0,28,33,32,27,28
20,2,34,31,35,27,40
25,1,34,36,38,34,25
27,1,36,32,33,31,38
24,2,35,31,28,29,33
29,1,32,38,30,31,22
16,2,34,32,30,33,20
29,1,33,32,33,37,25
33,2,29,32,26,29,40
21,1,33,33,30,33,31
26,1,31,36,31,32,31
21,1,31,28,28,29,31
26,2,31,32,26,32,29
14,1,31,37,30,29,36
30,1,35,36,35,31,26
27,1,34,38,32,37,39
17,1,31,37,34,30,41
17,2,28,29,26,35,29
19,2,29,30,31,31,28
18,1,24,36,33,31,26
23,2,31,32,29,28,31
19,2,36,33,33,31,38
23,1,36,31,31,32,27
14,1,28,36,32,33,31
18,1,32,32,29,37,41
18,2,38,32,26,35,23
16,1,29,35,27,29,35
23,2,37,28,39,29,27
22,2,38,30,34,33,27
19,1,33,36,30,31,22
21,1,30,36,35,29,33
19,1,30,31,34,30,35
39,2,36,34,33,31,39
26,1,35,36,31,29,18
48,1,30,39,29,33,20
33,2,27,34,32,28,35
20,1,35,32,33,35,29
22,2,34,39,37,30,29
43,1,30,33,32,32,30
13,2,32,37,31,29,36
22,1,38,34,29,33,33
23,2,37,27,33,31,38
24,1,30,28,35,32,33
39,1,29,37,35,25,39
29,2,35,39,31,27,25
39,1,31,34,27,31,25
26,2,33,30,26,28,37
17,2,34,40,32,26,43
18,2,30,31,30,34,35
17,2,35,33,30,30,29
26,2,34,32,31,32,29
17,1,33,31,30,32,36
16,2,30,27,35,27,30
17,2,34,35,34,34,31
35,1,31,35,36,31,25
39,2,33,32,38,27,34
18,2,31,32,29,27,31
29,2,30,29,29,30,33
15,2,33,36,31,26,40
15,1,31,38,27,32,38
20,2,34,35,31,30,30
42,2,33,33,27,26,40
19,1,34,33,33,31,34
18,2,29,37,34,32,39
17,1,30,31,32,30,26
15,2,28,33,32,28,39
42,2,32,35,28,32,19
25,2,37,33,33,27,38
15,1,32,33,27,33,36
16,2,39,39,24,30,43
26,1,25,33,32,24,31
19,3,32,31,24,30,30
37,2,27,34,30,27,30
24,1,34,26,33,32,35
19,2,36,34,25,34,24
36,1,34,35,28,30,23
16,1,37,30,32,36,35
24,1,32,31,28,36,29
26,2,29,30,34,31,29
15,2,27,36,34,28,29
17,2,29,32,35,28,31
22,1,30,32,29,28,34
20,2,38,31,33,36,28
42,2,37,37,31,35,34
25,2,32,35,31,27,28
39,2,32,35,34,33,30
23,1,28,28,30,26,32
14,2,30,37,27,30,43
21,2,31,32,35,31,28
43,2,26,37,32,29,31
20,2,25,26,28,30,35
19,2,31,34,27,29,40
29,2,35,35,33,34,36
23,2,33,38,34,34,30
13,1,30,32,32,32,25
17,2,31,29,34,32,40
21,2,36,30,26,33,26
35,1,31,34,33,30,27
29,2,36,33,30,28,36
13,1,28,35,25,31,41
13,2,33,27,30,35,27
13,2,36,34,36,34,41
13,1,30,37,30,28,26
13,2,28,28,27,29,18
13,2,34,25,24,29,39
13,2,29,34,32,27,24
13,1,29,24,35,33,26
13,1,28,32,32,34,30
14,2,34,26,30,37,30
13,2,32,31,25,31,22
14,1,36,40,34,38,37
25,1,30,37,26,32,29
13,2,32,29,33,33,22
42,2,30,34,31,28,27
33,1,33,36,29,35,20
20,2,33,32,33,35,36
41,2,34,36,35,33,21
26,2,31,33,31,32,27
38,2,29,32,26,33,25
35,2,39,33,38,29,29
21,1,25,26,31,28,23
21,1,24,29,27,30,29
27,2,39,32,35,29,29
28,2,37,36,38,28,41
14,2,30,37,29,34,32
17,2,32,33,34,26,31
17,2,29,30,26,36,33
17,1,31,27,31,35,28
16,2,37,27,26,30,17
16,1,28,31,27,32,29
17,1,33,34,32,33,25
15,2,24,35,34,22,41
16,2,32,27,32,29,35
16,1,30,33,36,30,22
16,1,33,31,30,34,38
17,2,27,29,33,29,31
33,2,30,40,33,25,28
20,1,35,39,27,31,21
40,2,31,32,28,26,38
19,2,30,30,32,31,29
24,2,34,37,37,29,35
17,1,32,25,31,33,40
18,1,30,36,30,31,38
15,2,33,35,36,30,42
17,1,34,29,26,31,23
19,2,33,37,33,35,33
32,2,32,32,31,29,34
20,2,30,31,26,26,37
30,1,35,37,29,27,32
31,2,31,33,35,30,34
55,2,35,38,32,32,31
35,2,31,30,30,31,31
60,1,23,38,29,33,20
48,1,34,30,27,27,22
32,1,28,38,34,30,33
60,1,28,29,29,27,18
58,2,34,34,26,32,18
22,1,31,33,32,28,24
19,1,32,27,32,34,37
24,2,36,34,31,28,24
45,2,35,35,33,33,22
25,1,25,35,28,27,27
25,2,33,35,31,33,25
14,2,26,31,29,31,30
20,2,29,30,28,29,36
17,2,36,34,37,33,28
22,1,35,39,32,31,42
30,2,38,31,35,27,30
29,2,28,34,32,34,33
22,2,26,34,32,33,23
15,2,31,32,31,28,36
13,2,33,29,30,27,41
14,2,34,37,32,32,31
18,2,31,31,31,33,28
38,1,24,32,29,27,41
30,2,29,29,27,23,27
19,2,31,32,27,31,33
32,1,33,34,36,29,33
18,1,33,35,28,35,34
28,1,30,38,27,29,22
55,2,29,32,32,33,26
31,1,32,31,30,30,39
23,2,25,34,30,28,25
16,1,29,38,35,31,35
17,2,29,39,36,30,35
14,2,31,27,33,27,35
43,2,30,30,26,32,19
44,2,34,37,35,30,40
22,2,34,37,33,27,32
19,2,31,32,34,24,28
42,2,35,31,33,34,28
17,3,31,38,30,25,24
39,2,33,40,30,30,25
20,2,31,31,32,27,41
18,1,26,30,28,30,27
14,1,30,40,33,32,31
18,1,36,31,38,36,28
25,1,34,33,31,32,33
17,1,26,31,33,25,17
21,1,32,35,32,32,27
13,2,36,34,37,31,27
36,1,31,31,30,38,33
17,1,28,33,27,28,33
30,2,28,36,27,29,35
24,2,32,28,32,31,39
16,2,30,27,28,28,31
16,2,32,35,28,30,26
51,1,34,38,31,30,36
20,1,32,30,39,34,24
25,1,29,32,32,26,30
28,1,28,35,38,33,42
13,2,37,32,35,33,32
49,2,37,38,32,36,36
19,2,30,29,28,30,31
37,2,36,33,30,27,36
23,1,39,32,36,29,40
21,1,29,32,29,34,35
29,2,35,30,35,33,37
24,2,34,29,36,31,36
16,2,28,38,36,29,42
17,1,26,34,29,32,19
20,1,30,30,31,26,26
21,1,27,28,33,29,19
17,2,35,27,30,35,32
22,2,35,35,36,34,35
44,1,31,37,31,28,41
58,2,31,31,32,34,32
16,2,31,35,37,27,33
16,1,33,35,31,30,27
19,2,27,33,30,25,34
46,2,26,34,25,28,32
21,2,34,32,31,31,28
23,2,30,33,32,30,39
18,2,29,34,33,32,22
16,1,24,35,34,30,22
22,2,32,29,31,32,34
24,2,30,27,29,30,21
21,2,28,40,35,25,35
39,2,29,37,28,27,21
18,2,36,30,28,30,39
20,1,36,30,32,33,36
20,1,38,34,36,36,33
47,1,33,32,36,34,36
