ISO3,series,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
AFG,CC.EST,-1.44725239276886,-1.44629228115082,-1.61325109004974,-1.67209553718567,-1.55229878425598,-1.64539110660553,-1.60047078132629,-1.43037283420563,-1.44596064090729,-1.36493408679962,-1.35471308231354,-1.54022777080536,-1.53007459640503,-1.50287592411041,-1.41931009292603,-1.49336087703705,-1.15226578712463,-1.18368434906006
AFG,GE.EST,-1.2288156747818,-1.47365152835846,-1.44011056423187,-1.52779507637024,-1.50775218009949,-1.47831559181213,-1.47410047054291,-1.37553513050079,-1.40146291255951,-1.36164617538452,-1.39739489555359,-1.29146802425385,-1.38659679889679,-1.50175786018372,-1.5191125869751,-1.61153948307037,-1.67058789730072,-1.88003480434418
AFG,PV.EST,-2.06750988960266,-2.21913456916809,-2.4133734703064,-2.69136095046997,-2.71142148971558,-2.57915186882019,-2.50205969810486,-2.41856145858765,-2.51934909820557,-2.41106843948364,-2.56262516975403,-2.6621561050415,-2.7949755191803,-2.75344133377075,-2.65253973007202,-2.702721118927,-2.51867604255676,-2.54495596885681
AFG,RL.EST,-1.66296553611755,-1.87900483608246,-1.85256004333496,-1.90330755710602,-1.87611877918243,-1.87005805969238,-1.9225001335144,-1.6518931388855,-1.60975515842438,-1.4377019405365,-1.51620066165924,-1.52253365516663,-1.58117640018463,-1.68912386894226,-1.74210047721863,-1.83140671253204,-1.87723398208618,-1.65984559059143
AFG,RQ.EST,-1.64344024658203,-1.68946862220764,-1.70887231826782,-1.60716688632965,-1.66450762748718,-1.51652824878693,-1.53632390499115,-1.19257974624634,-1.19309020042419,-1.12413370609283,-1.0188262462616,-1.33969509601593,-1.36301040649414,-1.13820362091064,-1.11377799510956,-1.38916301727295,-1.31168210506439,-1.27180624008179
AFG,VA.EST,-1.12542963027954,-1.11029398441315,-1.05765390396118,-1.16890180110931,-1.37549519538879,-1.40446734428406,-1.33597695827484,-1.26743006706238,-1.24013912677765,-1.13552260398865,-1.11762809753418,-1.03783690929413,-0.990954160690308,-1.00768673419952,-1.00671291351318,-1.07826685905457,-1.56838941574097,-1.75352871417999
AGO,CC.EST,-1.32318198680878,-1.24103772640228,-1.30749356746674,-1.30876457691193,-1.39776611328125,-1.33247494697571,-1.36746907234192,-1.30240142345428,-1.33697164058685,-1.45822596549988,-1.42772650718689,-1.48399043083191,-1.44517171382904,-1.19948387145996,-1.05461812019348,-0.93506121635437,-0.649475812911987,-0.612375736236572
AGO,GE.EST,-1.1102192401886,-1.38104915618896,-1.20500719547272,-1.06138837337494,-0.945070207118988,-1.13826775550842,-1.19323122501373,-0.988945424556732,-1.24288654327393,-1.05657386779785,-0.929087340831757,-0.971493542194366,-0.951988995075226,-1.00525164604187,-1.1284898519516,-1.25748455524445,-1.1263599395752,-1.02603423595428
AGO,PV.EST,-0.885178327560425,-0.539453446865082,-0.666658759117126,-0.361787378787994,-0.34759184718132,-0.226182341575623,-0.369237810373306,-0.389322549104691,-0.39123347401619,-0.333232045173645,-0.50538581609726,-0.321580082178116,-0.387895494699478,-0.347208589315414,-0.368411600589752,-0.599917888641357,-0.710480749607086,-0.630108535289764
AGO,RL.EST,-1.46479499340057,-1.31127274036407,-1.3751335144043,-1.37856388092041,-1.23628926277161,-1.27295327186584,-1.27705323696136,-1.30477690696716,-1.29094779491425,-1.07495403289795,-1.03065872192383,-1.00395023822784,-1.03998208045959,-1.00106203556061,-1.02354824542999,-0.951058804988861,-0.983753621578217,-1.02203571796417
AGO,RQ.EST,-1.24003624916077,-1.15621566772461,-1.07531261444092,-1.10149598121643,-1.05952525138855,-1.06021749973297,-1.10753154754639,-0.990437567234039,-1.0416704416275,-0.860683441162109,-0.8636714220047,-0.969250917434692,-1.04546654224396,-0.8006831407547,-0.833844542503357,-0.856853485107422,-0.670014679431915,-0.606698572635651
AGO,VA.EST,-1.23471939563751,-1.25208795070648,-1.18531394004822,-1.11934685707092,-1.12613534927368,-1.12052512168884,-1.12547838687897,-1.07624673843384,-1.11391913890839,-1.14532363414764,-1.17716491222382,-1.14032745361328,-1.09524345397949,-0.903594315052032,-0.793109953403473,-0.816005945205688,-0.859023571014404,-0.807577967643738
ALB,CC.EST,-0.813263893127441,-0.790545284748077,-0.706940054893494,-0.605212390422821,-0.545270919799805,-0.531616508960724,-0.701794147491455,-0.778729438781738,-0.751372694969177,-0.5865718126297,-0.54514080286026,-0.472373723983765,-0.481386840343475,-0.546018898487091,-0.564274072647095,-0.573538780212402,-0.577179968357086,-0.408189445734024
ALB,GE.EST,-0.696387231349945,-0.580952644348145,-0.427722543478012,-0.367063492536545,-0.255941480398178,-0.279453217983246,-0.202177077531815,-0.26892501115799,-0.324457377195358,-0.0497708097100258,0.0275752544403076,0.0290823616087437,0.0985528454184532,0.0805245339870453,-0.0623007006943226,-0.155121222138405,-0.0359850227832794,0.0645405352115631
ALB,PV.EST,-0.505047976970673,-0.508157312870026,-0.203974649310112,-0.0305009130388498,-0.0451405122876167,-0.191482901573181,-0.282379418611526,-0.143631592392921,0.0919297859072685,0.485986232757568,0.341639041900635,0.337447881698608,0.373770743608475,0.366779267787933,0.11010505259037,0.0886125192046165,0.196371927857399,0.106261312961578
